subject_id,task,data.value
44121875,T17,[{'11': 1}]
44121875,T19,[{'18': 1}]
44121875,T20,[{'13': 1}]
44121875,T21,[{'11': 1}]
44121875,T22,[{'0': 1}]
44121875,T23,[{'13': 1}]
44121875,T25,[{'1': 1}]
44121875,T26,[{'0': 1}]
44121875,T27,[{'18': 1}]
44121875,T28,[{'0': 1}]
44121875,T29,[{'0': 1}]
44121876,T1,[{'13': 1}]
44121876,T2,[{'13': 1}]
44121876,T3,[{'0': 1}]
44121876,T4,[{'0': 1}]
44121876,T5,[{'0': 1}]
44121876,T7,[{'0': 1}]
44121876,T8,[{'0': 1}]
44121876,T9,[{'0': 1}]
44121876,T10,[{'0': 1}]
44121876,T11,[{'13': 1}]
44121876,T13,[{'13': 1}]
44121876,T14,[{'3': 1}]
44121876,T15,[{'13': 1}]
44121876,T16,[{'0': 1}]
44121876,T17,[{'0': 1}]
44121876,T19,[{'7': 1}]
44121876,T20,[{'1': 1}]
44121876,T21,[{'0': 1}]
44121876,T22,[{'0': 1}]
44121876,T23,[{'0': 1}]
44121876,T25,[{'7': 1}]
44121876,T26,[{'0': 1}]
44121876,T27,[{'0': 1}]
44121876,T28,[{'13': 1}]
44121876,T29,[{'13': 1}]
44121879,T1,[{'0': 1}]
44121879,T2,[{'0': 1}]
44121879,T3,[{'0': 1}]
44121879,T4,[{'0': 1}]
44121879,T5,[{'13': 1}]
44121879,T7,[{'13': 1}]
44121879,T8,[{'1': 1}]
44121879,T9,[{'0': 1}]
44121879,T10,[{'0': 1}]
44121879,T11,[{'0': 1}]
44121879,T13,[{'0': 1}]
44121879,T14,[{'0': 1}]
44121879,T15,[{'0': 1}]
44121879,T16,[{'0': 1}]
44121879,T17,[{'0': 1}]
44121879,T19,[{'1': 1}]
44121879,T20,[{'0': 1}]
44121879,T21,[{'0': 1}]
44121879,T22,[{'8': 1}]
44121879,T23,[{'0': 1}]
44121879,T25,[{'13': 1}]
44121879,T26,[{'0': 1}]
44121879,T27,[{'0': 1}]
44121879,T28,[{'0': 1}]
44121879,T29,[{'0': 1}]
44121881,T1,[{'0': 1}]
44121881,T2,[{'0': 1}]
44121881,T3,[{'0': 1}]
44121881,T4,[{'0': 1}]
44121881,T5,[{'0': 1}]
44121881,T7,[{'0': 1}]
44121881,T8,[{'13': 1}]
44121881,T9,[{'0': 1}]
44121881,T10,[{'0': 1}]
44121881,T11,[{'0': 1}]
44121881,T13,[{'13': 1}]
44121881,T14,[{'0': 1}]
44121881,T15,[{'0': 1}]
44121881,T16,[{'0': 1}]
44121881,T17,[{'0': 1}]
44121881,T19,[{'0': 1}]
44121881,T20,[{'13': 1}]
44121881,T21,[{'13': 1}]
44121881,T22,[{'0': 1}]
44121881,T23,[{'0': 1}]
44121881,T25,[{'0': 1}]
44121881,T26,[{'0': 1}]
44121881,T27,[{'13': 1}]
44121881,T28,[{'0': 1}]
44121881,T29,[{'0': 1}]
44121883,T1,[{'0': 1}]
44121883,T2,[{'0': 1}]
44121883,T3,[{'0': 1}]
44121883,T4,[{'13': 1}]
44121883,T5,[{'7': 1}]
44121883,T7,[{'1': 1}]
44121883,T8,[{'1': 1}]
44121883,T9,[{'13': 1}]
44121883,T10,[{'0': 1}]
44121883,T11,[{'0': 1}]
44121883,T13,[{'1': 1}]
44121883,T14,[{'13': 1}]
44121883,T15,[{'11': 1}]
44121883,T16,[{'0': 1}]
44121883,T17,[{'0': 1}]
44121883,T19,[{'19': 1}]
44121883,T20,[{'0': 1}]
44121883,T21,[{'13': 1}]
44121883,T22,[{'0': 1}]
44121883,T23,[{'0': 1}]
44121883,T25,[{'0': 1}]
44121883,T26,[{'0': 1}]
44121883,T27,[{'0': 1}]
44121883,T28,[{'0': 1}]
44121883,T29,[{'13': 1}]
44121885,T1,[{'0': 1}]
44121885,T2,[{'0': 1}]
44121885,T3,[{'0': 1}]
44121885,T4,[{'13': 1}]
44121885,T5,[{'0': 1}]
44121885,T7,[{'0': 1}]
44121885,T8,[{'13': 1}]
44121885,T9,[{'13': 1}]
44121885,T10,[{'13': 1}]
44121885,T11,[{'0': 1}]
44121885,T13,[{'0': 1}]
44121885,T14,[{'0': 1}]
44121885,T15,[{'1': 1}]
44121885,T16,[{'0': 1}]
44121885,T17,[{'0': 1}]
44121885,T19,[{'11': 1}]
44121885,T20,[{'0': 1}]
44121885,T21,[{'0': 1}]
44121885,T22,[{'0': 1}]
44121885,T23,[{'0': 1}]
44121885,T25,[{'0': 1}]
44121885,T26,[{'0': 1}]
44121885,T27,[{'0': 1}]
44121885,T28,[{'0': 1}]
44121885,T29,[{'0': 1}]
44121888,T1,[{'0': 1}]
44121888,T2,[{'0': 1}]
44121888,T3,[{'0': 1}]
44121888,T4,[{'0': 1}]
44121888,T5,[{'0': 1}]
44121888,T7,[{'0': 1}]
44121888,T8,[{'0': 1}]
44121888,T9,[{'1': 1}]
44121888,T10,[{'13': 1}]
44121888,T11,[{'0': 1}]
44121888,T13,[{'0': 1}]
44121888,T14,[{'0': 1}]
44121888,T15,[{'0': 1}]
44121888,T16,[{'0': 1}]
44121888,T17,[{'13': 1}]
44121888,T19,[{'0': 1}]
44121888,T20,[{'17': 1}]
44121888,T21,[{'0': 1}]
44121888,T22,[{'0': 1}]
44121888,T23,[{'0': 1}]
44121888,T25,[{'7': 1}]
44121888,T26,[{'0': 1}]
44121888,T27,[{'0': 1}]
44121888,T28,[{'13': 1}]
44121888,T29,[{'13': 1}]
44121889,T1,[{'0': 1}]
44121889,T2,[{'0': 1}]
44121889,T3,[{'0': 1}]
44121889,T4,[{'1': 1}]
44121889,T5,[{'0': 1}]
44121889,T7,[{'0': 1}]
44121889,T8,[{'1': 1}]
44121889,T9,[{'13': 1}]
44121889,T10,[{'13': 1}]
44121889,T11,[{'0': 1}]
44121889,T13,[{'0': 1}]
44121889,T14,[{'0': 1}]
44121889,T15,[{'9': 1}]
44121889,T16,[{'0': 1}]
44121889,T17,[{'0': 1}]
44121889,T19,[{'0': 1}]
44121889,T20,[{'0': 1}]
44121889,T21,[{'0': 1}]
44121889,T22,[{'0': 1}]
44121889,T23,[{'13': 1}]
44121889,T25,[{'0': 1}]
44121889,T26,[{'7': 1}]
44121889,T27,[{'11': 1}]
44121889,T28,[{'13': 1}]
44121889,T29,[{'0': 1}]
44121891,T1,[{'0': 1}]
44121891,T2,[{'11': 1}]
44121891,T3,[{'13': 1}]
44121891,T4,[{'13': 1}]
44121891,T5,[{'13': 1}]
44121891,T7,[{'0': 1}]
44121891,T8,[{'13': 1}]
44121891,T9,[{'0': 1}]
44121891,T10,[{'0': 1}]
44121891,T11,[{'0': 1}]
44121891,T13,[{'1': 1}]
44121891,T14,[{'0': 1}]
44121891,T15,[{'0': 1}]
44121891,T16,[{'0': 1}]
44121891,T17,[{'0': 1}]
44121891,T19,[{'0': 1}]
44121891,T20,[{'0': 1}]
44121891,T21,[{'0': 1}]
44121891,T22,[{'0': 1}]
44121891,T23,[{'0': 1}]
44121891,T25,[{'0': 1}]
44121891,T26,[{'11': 1}]
44121891,T27,[{'0': 1}]
44121891,T28,[{'0': 1}]
44121891,T29,[{'7': 1}]
44121892,T1,[{'0': 1}]
44121892,T2,[{'0': 1}]
44121892,T3,[{'0': 1}]
44121892,T4,[{'11': 1}]
44121892,T5,[{'0': 1}]
44121892,T7,[{'13': 1}]
44121892,T8,[{'13': 1}]
44121892,T9,[{'13': 1}]
44121892,T10,[{'13': 1}]
44121892,T11,[{'0': 1}]
44121892,T13,[{'0': 1}]
44121892,T14,[{'0': 1}]
